iter	Passed	Remaining
1526	24607	1176
1527	24622	1160
1528	24639	1144
1529	24654	1128
1530	24670	1111
1531	24687	1095
1532	24703	1079
1533	24719	1063
1534	24735	1047
1535	24751	1031
1536	24766	1015
1537	24783	999
1538	24799	982
1539	24815	966
1540	24830	950
1541	24848	934
1542	24866	918
1543	24883	902
1544	24899	886
1545	24915	870
1546	24931	854
1547	24946	838
1548	24962	821
1549	24978	805
1550	24994	789
1551	25009	773
1552	25026	757
1553	25043	741
1554	25060	725
1555	25075	709
1556	25091	692
1557	25107	676
1558	25123	660
1559	25138	644
1560	25155	628
1561	25173	612
1562	25189	596
1563	25204	580
1564	25220	564
1565	25236	547
1566	25251	531
1567	25267	515
1568	25283	499
1569	25299	483
1570	25315	467
1571	25331	451
1572	25347	435
1573	25362	418
1574	25379	402
1575	25395	386
1576	25411	370
1577	25428	354
1578	25443	338
1579	25459	322
1580	25475	306
1581	25492	290
1582	25507	273
1583	25523	257
1584	25539	241
1585	25555	225
1586	25572	209
1587	25588	193
1588	25603	177
1589	25619	161
1590	25635	145
1591	25652	128
1592	25667	112
1593	25683	96
1594	25699	80
1595	25715	64
1596	25731	48
1597	25747	32
1598	25763	16
1599	25780	0
